,yearweek,number
0,2014-01-01,437.0
1,2014-01-08,479.0
2,2014-01-15,401.0
3,2014-01-22,336.0
4,2014-01-29,234.0
5,2014-02-05,274.0
6,2014-02-12,369.0
7,2014-02-19,194.0
8,2014-02-26,187.0
9,2014-03-05,210.0
10,2014-03-12,225.0
11,2014-03-19,210.0
12,2014-03-26,225.0
13,2014-04-02,240.0
14,2014-04-09,245.0
15,2014-04-16,235.0
16,2014-04-23,282.0
17,2014-04-30,251.0
18,2014-05-07,261.0
19,2014-05-14,291.0
20,2014-05-21,428.0
21,2014-05-28,456.0
22,2014-06-04,459.0
23,2014-06-11,506.0
24,2014-06-18,551.0
25,2014-06-25,671.0
26,2014-07-02,891.0
27,2014-07-09,819.0
28,2014-07-16,746.0
29,2014-07-23,634.0
30,2014-07-30,484.0
31,2014-08-06,545.0
32,2014-08-13,438.0
33,2014-08-20,418.0
34,2014-08-27,367.0
35,2014-09-03,339.0
36,2014-09-10,362.0
37,2014-09-17,397.0
38,2014-09-24,345.0
39,2014-10-01,339.0
40,2014-10-08,278.0
41,2014-10-15,297.0
42,2014-10-22,213.0
43,2014-10-29,186.0
44,2014-11-05,169.0
45,2014-11-12,158.0
46,2014-11-19,149.0
47,2014-11-26,162.0
48,2014-12-03,212.0
49,2014-12-10,177.0
50,2014-12-17,198.0
51,2014-12-24,188.0
52,2014-12-31,158.0
53,2015-01-01,257.0
54,2015-01-08,228.0
55,2015-01-15,238.0
56,2015-01-22,259.0
57,2015-01-29,212.0
58,2015-02-05,173.0
59,2015-02-12,99.0
60,2015-02-19,172.0
61,2015-02-26,190.0
62,2015-03-05,110.0
63,2015-03-12,91.0
64,2015-03-19,130.0
65,2015-03-26,91.0
66,2015-04-02,107.0
67,2015-04-09,137.0
68,2015-04-16,113.0
69,2015-04-23,119.0
70,2015-04-30,135.0
71,2015-05-07,158.0
72,2015-05-14,109.0
73,2015-05-21,180.0
74,2015-05-28,152.0
75,2015-06-04,193.0
76,2015-06-11,207.0
77,2015-06-18,240.0
78,2015-06-25,242.0
79,2015-07-02,272.0
80,2015-07-09,263.0
81,2015-07-16,293.0
82,2015-07-23,250.0
83,2015-07-30,226.0
84,2015-08-06,221.0
85,2015-08-13,250.0
86,2015-08-20,225.0
87,2015-08-27,246.0
88,2015-09-03,217.0
89,2015-09-10,303.0
90,2015-09-17,214.0
91,2015-09-24,257.0
92,2015-10-01,236.0
93,2015-10-08,235.0
94,2015-10-15,224.0
95,2015-10-22,246.0
96,2015-10-29,266.0
97,2015-11-05,198.0
98,2015-11-12,254.0
99,2015-11-19,283.0
100,2015-11-26,259.0
101,2015-12-03,357.0
102,2015-12-10,333.0
103,2015-12-17,367.0
104,2015-12-24,457.0
105,2016-01-01,545.0
106,2016-01-08,620.0
107,2016-01-15,637.0
108,2016-01-22,624.0
109,2016-01-29,525.0
110,2016-02-05,419.0
111,2016-02-12,590.0
112,2016-02-19,511.0
113,2016-02-26,411.0
114,2016-03-04,395.0
115,2016-03-11,373.0
116,2016-03-18,303.0
117,2016-03-25,377.0
118,2016-04-01,291.0
119,2016-04-08,221.0
120,2016-04-15,228.0
121,2016-04-22,242.0
122,2016-04-29,178.0
123,2016-05-06,215.0
124,2016-05-13,211.0
125,2016-05-20,198.0
126,2016-05-27,215.0
127,2016-06-03,158.0
128,2016-06-10,193.0
129,2016-06-17,213.0
130,2016-06-24,234.0
131,2016-07-01,246.0
132,2016-07-08,223.0
133,2016-07-15,266.0
134,2016-07-22,220.0
135,2016-07-29,209.0
136,2016-08-05,197.0
137,2016-08-12,220.0
138,2016-08-19,271.0
139,2016-08-26,308.0
140,2016-09-02,238.0
141,2016-09-09,174.0
142,2016-09-16,173.0
143,2016-09-23,135.0
144,2016-09-30,124.0
145,2016-10-07,94.0
146,2016-10-14,106.0
147,2016-10-21,81.0
148,2016-10-28,85.0
149,2016-11-04,82.0
150,2016-11-11,71.0
151,2016-11-18,75.0
152,2016-11-25,86.0
153,2016-12-02,59.0
154,2016-12-09,81.0
155,2016-12-16,70.0
156,2016-12-23,64.0
157,2017-01-01,70.0
158,2017-01-08,91.0
159,2017-01-15,74.0
160,2017-01-22,63.0
161,2017-01-29,62.0
162,2017-02-05,77.0
163,2017-02-12,53.0
164,2017-02-19,54.0
165,2017-02-26,41.0
166,2017-03-05,32.0
167,2017-03-12,35.0
168,2017-03-19,32.0
169,2017-03-26,50.0
170,2017-04-02,37.0
171,2017-04-09,32.0
172,2017-04-16,51.0
173,2017-04-23,37.0
174,2017-04-30,40.0
175,2017-05-07,48.0
176,2017-05-14,50.0
177,2017-05-21,50.0
178,2017-05-28,66.0
179,2017-06-04,62.0
180,2017-06-11,79.0
181,2017-06-18,73.0
182,2017-06-25,75.0
183,2017-07-02,63.0
184,2017-07-09,53.0
185,2017-07-16,51.0
186,2017-07-23,66.0
187,2017-07-30,60.0
188,2017-08-06,56.0
189,2017-08-13,52.0
190,2017-08-20,52.0
191,2017-08-27,33.0
192,2017-09-03,40.0
193,2017-09-10,53.0
194,2017-09-17,59.0
195,2017-09-24,39.0
196,2017-10-01,52.0
197,2017-10-08,55.0
198,2017-10-15,63.0
199,2017-10-22,77.0
200,2017-10-29,62.0
201,2017-11-05,44.0
202,2017-11-12,50.0
203,2017-11-19,24.0
204,2017-11-26,38.0
205,2017-12-03,34.0
206,2017-12-10,40.0
207,2017-12-17,51.0
208,2017-12-24,66.0
209,2018-01-01,83.0
210,2018-01-08,68.0
211,2018-01-15,54.0
212,2018-01-22,45.0
213,2018-01-29,48.0
214,2018-02-05,50.0
215,2018-02-12,28.0
216,2018-02-19,39.0
217,2018-02-26,51.0
218,2018-03-05,37.0
219,2018-03-12,39.0
220,2018-03-19,36.0
221,2018-03-26,24.0
222,2018-04-02,38.0
223,2018-04-09,38.0
224,2018-04-16,56.0
225,2018-04-23,56.0
226,2018-04-30,77.0
227,2018-05-07,62.0
228,2018-05-14,64.0
229,2018-05-21,65.0
230,2018-05-28,54.0
231,2018-06-04,75.0
232,2018-06-11,55.0
233,2018-06-18,61.0
234,2018-06-25,76.0
235,2018-07-02,58.0
236,2018-07-09,44.0
237,2018-07-16,41.0
238,2018-07-23,56.0
239,2018-07-30,51.0
240,2018-08-06,59.0
241,2018-08-13,43.0
242,2018-08-20,68.0
243,2018-08-27,75.0
244,2018-09-03,76.0
245,2018-09-10,49.0
246,2018-09-17,63.0
247,2018-09-24,40.0
248,2018-10-01,51.0
249,2018-10-08,51.0
250,2018-10-15,62.0
251,2018-10-22,78.0
252,2018-10-29,74.0
253,2018-11-05,71.0
254,2018-11-12,78.0
255,2018-11-19,97.0
256,2018-11-26,109.0
257,2018-12-03,114.0
258,2018-12-10,108.0
259,2018-12-17,128.0
260,2018-12-24,160.0
